,Indian_Movie_Name,Released_Year,Rating
0,Jai Bhim,2021,8.4
1,Anbe Sivam,2003,8.4
2,Pariyerum Perumal,2018,8.4
3,Golmaal,1979,8.4
4,Nayakan,1987,8.4
5,3 Idiots,2009,8.4
6,Apur Sansar,1959,8.4
7,Soorarai Pottru,2020,8.4
8,C/o Kancharapalem,2018,8.3
9,Kumbalangi Nights,2019,8.3
10,Black Friday,2004,8.3
11,Jersey,2019,8.3
12,#Home,2021,8.3
13,Taare Zameen Par,2007,8.3
14,Kaithi,2019,8.3
15,Manichitrathazhu,1993,8.3
16,Dangal,2016,8.3
17,Kireedam,1989,8.3
18,Asuran,2019,8.3
19,Sardar Udham,2021,8.3
20,Sarpatta Parambarai,2021,8.3
21,Thevar Magan,1992,8.3
22,96,2018,8.3
23,Thalapathi,1991,8.3
24,Pather Panchali,1955,8.3
25,Natsamrat,2016,8.3
26,Visaaranai,2015,8.3
27,Drishyam 2,2021,8.3
28,Thani Oruvan,2015,8.2
29,Vada Chennai,2018,8.2
30,Peranbu,2018,8.2
31,Aparajito,1956,8.2
32,Jaane Bhi Do Yaaro,1983,8.2
33,Agent Sai Srinivasa Athreya,2019,8.2
34,Khosla Ka Ghosla!,2006,8.2
35,Ratsasan,2018,8.2
36,Mahanati,2018,8.2
37,Anniyan,2005,8.2
38,Super Deluxe,2019,8.2
39,Chupke Chupke,1975,8.2
40,Bangalore Days,2014,8.2
41,Aruvi,2016,8.1
42,Premam,2015,8.1
43,Satya,1998,8.1
44,Drishyam,2013,8.1
45,Devasuram,1993,8.1
46,RRR (Rise Roar Revolt),2022,8.1
47,Chhichhore,2019,8.1
48,Chithram,1988,8.1
49,Vikram Vedha,2017,8.1
50,Kannathil Muthamittal,2002,8.1
51,Bhaag Milkha Bhaag,2013,8.1
52,Iruvar,1997,8.1
53,Andhadhun,2018,8.1
54,Tumbbad,2018,8.1
55,Gangs of Wasseypur,2012,8.1
56,Guide,1965,8.1
57,Drishyam,2015,8.1
58,Spadikam,1995,8.1
59,Sairat,2016,8.1
60,Paan Singh Tomar,2012,8.1
61,Mudhalvan,1999,8.1
62,Shahid,2012,8.1
63,Pudhu Pettai,2006,8.1
64,"Swades: We, the People",2004,8.1
65,Zindagi Na Milegi Dobara,2011,8.1
66,Chak De! India,2007,8.1
67,Dhuruvangal Pathinaaru,2016,8.1
68,Uri: The Surgical Strike,2019,8.1
69,Papanasam,2015,8.1
70,Mandela,2021,8.1
71,Soodhu Kavvum,2013,8.1
72,Black,2005,8.1
73,Pyaasa,1957,8.1
74,Jo Jeeta Wohi Sikandar,1992,8.1
75,Shershaah,2021,8.1
76,OMG: Oh My God!,2012,8.1
77,Jigarthanda,2014,8.1
78,Queen,2013,8.1
79,Kaakkaa Muttai,2014,8.1
80,Oru Vadakkan Veeragatha,1989,8.1
81,Article 15,2019,8.1
82,Theeran Adhigaaram Ondru,2017,8.1
83,Talvar,2015,8.1
84,Munna Bhai M.B.B.S.,2003,8.1
85,PK,2014,8.1
86,Pithamagan,2003,8.1
87,Sarfarosh,1999,8.1
88,Lagaan: Once Upon a Time in India,2001,8.1
89,Ustad Hotel,2012,8.1
90,Hera Pheri,2000,8.1
91,Baasha,1995,8.1
92,Barfi!,2012,8.1
93,Udaan,2010,8.1
94,The Legend of Bhagat Singh,2002,8.0
95,Sholay,1975,8.0
96,K.G.F: Chapter 1,2018,8.0
97,Angoor,1982,8.0
98,Baahubali 2: The Conclusion,2017,8.0
99,Maheshinte Prathikaaram,2016,8.0
