,Product Name,Product Price (₹),Product Discount
0,Voguish Alluring Women Handbags,584,15% 
1,Voguish Classy Women Handbags,304,25% 
2,Elegant Attractive Women Handbags,374,21% 
3,Elegant Fashionable Women Handbags,175,30% 
4,Ameyson Attractive Women Jute Printed Lunch Time Handbags,145,30% 
5,Voguish Versatile Women Handbags,534,16% 
6,Graceful Attractive Women Handbags,426,19% 
7,Elegant Versatile Women Handbags,584,15% 
8,Ravishing Versatile Women Handbags,484,17% 
9,Gorgeous Alluring Women Handbags,323,24% 
10,Elite Alluring Women Handbags,281,26% 
11,Graceful Attractive Women Handbags,263,28% 
12,HANDBAGS,336,23% 
13,Graceful Fancy Women Handbags,234,30% 
14,Classic Versatile Women Handbags,610,14% 
15,Voguish Alluring Women Handbags,1223,8% 
16,Elegant Versatile Women Handbags,565,15% 
17,FashionableLatest Women  handbag,70,30% 
18,Ravishing Fashionable Women Handbags,746,12% 
19,Classic Classy Women Handbags,611,14% 
