,Restaurent Names,Locations,Cuisines,Rating,Images_url
0,"The Bier Library Brewery & KitchenKoramangala, South Bangalore","Koramangala, South Bangalore","Continental, Finger Food, North Indian",4.4,https://im1.dineout.co.in/images/uploads/restaurant/sharpen/4/r/y/p48670-15414807385be1212212d20.jpg?tr=tr:n-medium
1,"BiergartenKoramangala, South Bangalore","Koramangala, South Bangalore","Continental, European",4.4,https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/z/o/p5872-16013809925f7322802eef6.jpg?tr=tr:n-medium
2,"Uru BrewparkJP Nagar, South Bangalore","JP Nagar, South Bangalore","North Indian, Italian, Continental, Asian",4.3,https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/k/n/p60213-162643925660f17e58443c5.jpg?tr=tr:n-medium
3,"Hard Rock CafeSt. Marks Road, Central Bangalore","St. Marks Road, Central Bangalore","Continental, American, Finger Food",4.4,https://im1.dineout.co.in/images/uploads/restaurant/sharpen/3/h/z/p3728-15819343935e4a6739ada8d.jpg?tr=tr:n-medium
4,"The Biere ClubVittal Mallya Road, Central Bangalore","Vittal Mallya Road, Central Bangalore",Finger Food,4.3,https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/i/k/p1168-15992017925f51e2003d1f0.jpg?tr=tr:n-medium
5,"JW KitchenJW Marriott Hotel,Vittal Mallya Road, Central Bangalore","JW Marriott Hotel,Vittal Mallya Road, Central Bangalore","North Indian, Continental",4.4,https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/z/g/p13437-15370039825b9cd1cec3540.jpg?tr=tr:n-medium
6,"BadmaashUB City,Vittal Mallya Road, Central Bangalore","UB City,Vittal Mallya Road, Central Bangalore","North Indian, Chettinad, Andhra",4.2,https://im1.dineout.co.in/images/uploads/restaurant/sharpen/8/l/j/p87534-161719349660646a18dc26a.jpg?tr=tr:n-medium
7,"No Limmits Lounge and ClubAllied Grand Plaza,Magrath Road, Central Bangalore","Allied Grand Plaza,Magrath Road, Central Bangalore","North Indian, Continental, Chinese",3.8,https://im1.dineout.co.in/images/uploads/restaurant/sharpen/9/k/f/p9416-1637666314619cce0a06ca9.jpg?tr=tr:n-medium
8,"Cafe NoirUB City,Vittal Mallya Road, Central Bangalore","UB City,Vittal Mallya Road, Central Bangalore","Continental, French, European, Health Food, Beverages",4.3,https://im1.dineout.co.in/images/uploads/restaurant/sharpen/4/b/e/p4471-16353141816178ea05c332c.jpg?tr=tr:n-medium
9,"DaddyIndiranagar, East Bangalore","Indiranagar, East Bangalore","Asian, North Indian, European, Italian",4.3,https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/u/f/p57949-15604908195d033343f04f5.jpg?tr=tr:n-medium
10,"ShiroUB City,Vittal Mallya Road, Central Bangalore","UB City,Vittal Mallya Road, Central Bangalore","Thai, Japanese, Asian, Malaysian",4.3,https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/z/p/p1352-162632608060efc440c2303.jpg?tr=tr:n-medium
11,"Chutney ChangHM Eleganza Building,Church Street, Central Bangalore","HM Eleganza Building,Church Street, Central Bangalore","Chinese, North Indian",4.2,https://im1.dineout.co.in/images/uploads/restaurant/sharpen/3/j/c/p3370-15245585695adeeae9e8f1a.jpg?tr=tr:n-medium
12,"ToscanoUB City,Vittal Mallya Road, Central Bangalore","UB City,Vittal Mallya Road, Central Bangalore",Italian,4.5,https://im1.dineout.co.in/images/uploads/restaurant/sharpen/8/g/h/p860-16107933836002c1a7713ed.jpg?tr=tr:n-medium
13,"SanchezUB City,Vittal Mallya Road, Central Bangalore","UB City,Vittal Mallya Road, Central Bangalore","Mexican, Tex Mex",4.3,https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/y/t/p1258-15517088875c7d32d7331ff.jpg?tr=tr:n-medium
14,"SodaBottleOpenerWalaLavelle Road, Central Bangalore","Lavelle Road, Central Bangalore","Parsi, Iranian",4.3,https://im1.dineout.co.in/images/uploads/restaurant/sharpen/3/q/j/p3737-1481539616584e80200c0e1.jpg?tr=tr:n-medium
15,"Church Street SocialCobalt Building,Church Street, Central Bangalore","Cobalt Building,Church Street, Central Bangalore","Chinese, North Indian, American, Biryani, Continental",4.3,https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/b/d/p15333-15628284215d26de85165f2.jpg?tr=tr:n-medium
16,"Farzi CafeUB City,Vittal Mallya Road, Central Bangalore","UB City,Vittal Mallya Road, Central Bangalore",Modern Indian,4.3,https://im1.dineout.co.in/images/uploads/restaurant/sharpen/2/b/h/p24670-164386528961fb64c942ac7.jpg?tr=tr:n-medium
17,"Spice TerraceJW Marriott Hotel,Vittal Mallya Road, Central Bangalore","JW Marriott Hotel,Vittal Mallya Road, Central Bangalore","North Indian, Mughlai",4.3,https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/m/n/p13467-15646445765d4294e08b5cc.jpg?tr=tr:n-medium
18,"RaahiSt. Marks Road, Central Bangalore","St. Marks Road, Central Bangalore",Fusion,4,https://im1.dineout.co.in/images/uploads/restaurant/sharpen/7/q/k/p71751-15743140755dd6205b7b8fa.jpg?tr=tr:n-medium
